id;version;game_name;passcode;created;started;finished;updated;score_a;score_b;ticks;host_url
1;76272;Salchichas Castilla Fiji;Morado Montserrat Guantes;2022-08-09T06:53:43;2022-08-09T17:55:45;2022-08-09T21:39:17;2022-08-09T06:00:45;1386;47748;41019;Madera
2;30481;e-enable Guapo;Pound;2022-08-09T04:15:11;2022-08-09T02:47:08;2022-08-09T16:55:35;2022-08-09T01:56:16;61471;30679;6842;port
3;67077;program;Ingeniero;2022-08-09T02:47:56;2022-08-09T08:19:10;2022-08-09T18:58:22;2022-08-09T11:54:43;6099;27017;26933;Avon
4;22907;generating mediante Murcia;necesidades estructura open-source;2022-08-09T04:45:21;2022-08-09T02:38:08;2022-08-09T08:58:44;2022-08-09T12:08:23;77207;36253;76028;Cambridgeshire payment Pre-emptivo
5;86241;Pequeño Práctico Seguridada;technologies;2022-08-09T19:32:06;2022-08-09T18:51:07;2022-08-09T08:32:39;2022-08-09T12:16:13;52284;31656;90791;Loan Liberian FTP
6;55316;matrix Madera Andalucía;system Borders Baleares;2022-08-09T10:17:19;2022-08-09T08:10:08;2022-08-09T07:32:13;2022-08-09T13:28:01;4774;62727;82137;deposit
7;20848;Jefe Cantabria Supervisor;Riera Parcela e-tailers;2022-08-08T23:41:14;2022-08-09T07:33:52;2022-08-09T19:49:17;2022-08-09T12:13:37;57200;78006;27801;Administrador Cambridgeshire
8;6523;Negro IB relationships;sinergia;2022-08-09T12:18:43;2022-08-09T18:09:12;2022-08-09T00:03:00;2022-08-09T19:41:39;40267;13489;62198;Increible
9;24874;synergize Relacciones;a bypass Rojo;2022-08-08T23:23:23;2022-08-09T16:43:19;2022-08-09T08:48:49;2022-08-09T22:47:32;65347;63971;94829;Borders hibrida
10;82384;Representante;array;2022-08-09T20:11:25;2022-08-09T01:53:27;2022-08-09T04:22:38;2022-08-09T07:29:00;48668;57929;85119;Productor COM
