id;version;seed;map_name;map_size;npc_count;json_props;config_name
1;87145;34681;invoice utilize Madrid;23322;11623;metódica Gestionado HDD;Central Gestionado
2;35482;49737;Metal Rústico Cambridgeshire;2793;59791;neural programming drive;Fantástico Técnico
3;65622;69403;invoice;52718;38417;virtual;Algodón Verde India
4;6;23267;EXE bypass;56594;49762;Supervisor productize acceso;Ergonómico
5;53110;5001;Rústico local Granito;86223;21589;protocol;Galicia
6;57108;76831;Canarias asíncrona;55755;8957;cara holística mesh;Analista circuit Producto
7;75218;72622;Arquitecto presupuestaria;47603;83545;Plástico Normas;Nacional
8;51047;90540;Malasia deploy Cataluña;77923;60571;IB program;Salchichas
9;75190;71830;back Arquitecto;9668;83460;calidad Analista;open-source connect communities
10;9322;38416;Corporativo;95360;70006;Progresivo;matrices interactive
