id;version;name;jhi_rank;score;score_time;rank_time;display_client
1;73924;e-commerce France;8488;87629;2022-08-10T02:03:02;2022-08-09T22:41:18;engage
2;33167;online Cyprus Supervisor;87167;50139;2022-08-10T21:28:22;2022-08-10T16:30:09;Lock cross-media scalable
3;78158;Devolved;15029;73287;2022-08-10T08:10:11;2022-08-10T18:18:54;Louisiana generation
4;71432;invoice user-centric Garden;39402;19398;2022-08-09T22:26:54;2022-08-10T12:17:59;real-time matrices
5;7990;Frozen;9663;64148;2022-08-10T03:23:59;2022-08-10T03:30:46;generation
6;68953;Rubber Sausages indexing;15066;83418;2022-08-10T13:45:06;2022-08-10T12:11:49;Corporate navigating out-of-the-box
7;45845;Viaduct maroon scale;43479;77035;2022-08-09T22:33:38;2022-08-10T13:36:52;hybrid backing Czech
8;39962;Moroccan Home Buckinghamshire;51163;7207;2022-08-10T02:13:54;2022-08-10T14:55:39;black Soft payment
9;4359;networks hard;20428;8709;2022-08-10T19:00:41;2022-08-09T22:27:30;XML Colon National
10;362;neural Cliff Texas;25431;79368;2022-08-10T21:25:06;2022-08-10T13:59:49;quantify
